,first_name,last_name,full_name,type,state,district,party,page_id
0,Sherrod,Brown,Sherrod Brown,sen,OH,,Democrat,6266829799
1,Maria,Cantwell,Maria Cantwell,sen,WA,,Democrat,9351652533
2,Benjamin,Cardin,Benjamin L. Cardin,sen,MD,,Democrat,
3,Thomas,Carper,Thomas R. Carper,sen,DE,,Democrat,165571920202215
4,Robert,Casey,"Robert P. Casey, Jr.",sen,PA,,Democrat,6781166087
5,Dianne,Feinstein,Dianne Feinstein,sen,CA,,Democrat,6314129300
6,Amy,Klobuchar,Amy Klobuchar,sen,MN,,Democrat,7606381190
7,Robert,Menendez,Robert Menendez,sen,NJ,,Democrat,6520632191
8,Bernard,Sanders,Bernard Sanders,sen,VT,,Independent,124955570892789
9,Debbie,Stabenow,Debbie Stabenow,sen,MI,,Democrat,8408030527
10,Jon,Tester,Jon Tester,sen,MT,,Democrat,6316744206
11,Sheldon,Whitehouse,Sheldon Whitehouse,sen,RI,,Democrat,10519905140
12,John,Barrasso,John Barrasso,sen,WY,,Republican,1099779163410386
13,Roger,Wicker,Roger F. Wicker,sen,MS,,Republican,6690879844
14,Susan,Collins,Susan M. Collins,sen,ME,,Republican,419237048158257
15,John,Cornyn,John Cornyn,sen,TX,,Republican,355316521236121
16,Richard,Durbin,Richard J. Durbin,sen,IL,,Democrat,6170309302
17,Lindsey,Graham,Lindsey Graham,sen,SC,,Republican,165987503528599
18,James,Inhofe,James M. Inhofe,sen,OK,,Republican,7686808625
19,Mitch,McConnell,Mitch McConnell,sen,KY,,Republican,259130650776119
20,Jeff,Merkley,Jeff Merkley,sen,OR,,Democrat,496696933682736
21,John,Reed,Jack Reed,sen,RI,,Democrat,1411485062416786
22,James,Risch,James E. Risch,sen,ID,,Republican,10148632367
23,Jeanne,Shaheen,Jeanne Shaheen,sen,NH,,Democrat,6691963292
24,Mark,Warner,Mark R. Warner,sen,VA,,Democrat,181467702005600
25,Kirsten,Gillibrand,Kirsten E. Gillibrand,sen,NY,,Democrat,6820348410
26,Christopher,Coons,Christopher A. Coons,sen,DE,,Democrat,7209432197
27,Joe,Manchin,"Joe Manchin, III",sen,WV,,Democrat,225201434308108
28,Robert,Aderholt,Robert B. Aderholt,rep,AL,4.0,Republican,110557007154443
29,Tammy,Baldwin,Tammy Baldwin,sen,WI,,Democrat,7357041101
30,Karen,Bass,Karen Bass,rep,CA,37.0,Democrat,47918118982
31,Michael,Bennet,Michael F. Bennet,sen,CO,,Democrat,57495285387
32,Gus,Bilirakis,Gus M. Bilirakis,rep,FL,12.0,Republican,284624954962951
33,Sanford,Bishop,"Sanford D. Bishop, Jr.",rep,GA,2.0,Democrat,200259660733791
34,Marsha,Blackburn,Marsha Blackburn,sen,TN,,Republican,143089732792
35,Earl,Blumenauer,Earl Blumenauer,rep,OR,3.0,Democrat,9252726787
36,Richard,Blumenthal,Richard Blumenthal,sen,CT,,Democrat,233344132673
37,Roy,Blunt,Roy Blunt,sen,MO,,Republican,6541047167
38,John,Boozman,John Boozman,sen,AR,,Republican,314808986017
39,Kevin,Brady,Kevin Brady,rep,TX,8.0,Republican,204845412960834
40,Mo,Brooks,Mo Brooks,rep,AL,5.0,Republican,105473048278
41,Vern,Buchanan,Vern Buchanan,rep,FL,16.0,Republican,105464510836
