facebook,page_name
senatorcantwell,Senator Maria Cantwell
senatorbencardin,Senator Ben Cardin
tomcarper,Senator Tom Carper
SenatorBobCasey,U.S. Senator Bob Casey
senatormenendez,Senator Bob Menendez
senatorsanders,U.S. Senator Bernie Sanders
SenatorStabenow,Senator Debbie Stabenow
senatortester,Senator Jon Tester
SenatorWhitehouse,Senator Sheldon Whitehouse
johnbarrasso,John Barrasso
sen.johncornyn,John Cornyn
SenatorDurbin,Senator Dick Durbin
jiminhofe,Senator Jim Inhofe
jeffmerkley,Senator Jeff Merkley
SenatorShaheen,Senator Jeanne Shaheen
SenKirstenGillibrand,U.S. Senator Kirsten Gillibrand
senatortammybaldwin,Senator Tammy Baldwin
RepKarenBass,Congressmember Karen Bass
sanfordbishop,Congressman Sanford Bishop
marshablackburn,Sen. Marsha Blackburn
SenatorBlunt,Senator Roy Blunt
JohnBoozman,John Boozman
kevinbrady,Rep. Kevin Brady
congressmangkbutterfield,Congressman G. K. Butterfield
70063393423,Congressman Ken Calvert
senshelley,Senator Shelley Moore Capito
CongressmanAndreCarson,Congressman André Carson
judgecarter,U.S. Representative John Carter
CongressmanDavidCicilline,Congressman David Cicilline
CongressmanGerryConnolly,Congressman Gerry Connolly
RepJimCosta,Congressman Jim Costa
joecourtney,Joe Courtney
RepPeterDeFazio,Peter DeFazio
CongresswomanRosaDeLauro,Rosa DeLauro
CongressmanTedDeutch,Congressman Ted Deutch
repgosar,Rep. Paul Gosar
RepKayGranger,Kay Granger
repalgreen,Rep. Al Green
Rep.Grijalva,Raul M. Grijalva
MartinHeinrich,Senator Martin Heinrich
herrerabeutler,Jaime Herrera Beutler
SenatorJohnHoeven,Senator John Hoeven
CongresswomanSheilaJacksonLee,Congresswoman Sheila Jackson Lee
RepBillJohnson,Bill Johnson
115356957005,Congressman Hank Johnson
repjimjordan,Jim Jordan
191056827594903,Representative Mike Kelly
repronkind,Rep. Ron Kind
RepKinzinger,Rep. Adam Kinzinger
CongressmanDougLamborn,Congressman Doug Lamborn
SenatorLankford,Senator James Lankford
RepRickLarsen,Representative Rick Larsen
senatormikelee,United States Senator Mike Lee
RepFrankLucas,Congressman Frank Lucas
RepCarolynMaloney,Rep. Carolyn B. Maloney
michaeltmccaul,Michael McCaul
repbettymccollum,Congresswoman Betty McCollum
RepJimMcGovern,Congressman Jim McGovern
CongressmanMcHenry,Patrick McHenry
jerrymcnerney,Congressman Jerry McNerney
SenLisaMurkowski,Lisa Murkowski
chrismurphyct,Chris Murphy
stevenpalazzo,Congressman Steven Palazzo
repfrankpallone,Frank Pallone Jr.
SenatorRandPaul,Senator Rand Paul
NancyPelosi,House Speaker Nancy Pelosi
SenGaryPeters,Senator Gary Peters
repmikequigley,Mike Quigley
RepTomReed,Rep. Tom Reed
CongressmanHalRogers,Congressman Hal Rogers
RepRoybalAllard,Rep. Lucille Roybal-Allard
SenatorMarcoRubio,Senator Marco Rubio
congressmanbobbyrush,Congressman Bobby L. Rush
153423912663,Gregorio Kilili Camacho Sablan
RepSarbanes,Congressman John Sarbanes
RepSteveScalise,Congressman Steve Scalise
janschakowsky,Jan Schakowsky
RepAdamSchiff,Congressman Adam Schiff
repschrader,Congressman Kurt Schrader
senschumer,Senator Chuck Schumer
RepAustinScott,Rep. Austin Scott
113303673339,Congressman David Scott
RepBobbyScott,Congressman Bobby Scott
SenatorTimScott,Tim Scott
RepSewell,Rep. Terri Sewell
RichardShelby,Senator Richard Shelby
63158229861,Congressman Brad Sherman
81058818750,Albio Sires
RepAdamSmith,Rep. Adam Smith
JackieSpeier,Congresswoman Jackie Speier
CongressmanGT,Glenn Thompson
reppaultonko,Paul D. Tonko
RepMikeTurner,Mike Turner
RepFredUpton,Fred Upton
RepWalberg,Rep Tim Walberg
RepDWS,Rep. Debbie Wasserman Schultz
RepRobWittman,Rep. Rob Wittman
214258646163,Congressman John Yarmuth (KY-3)
RepDonYoung,Congressman Don Young
congresswomanbonamici,Congresswoman Suzanne Bonamici
SenBrianSchatz,Senator Brian Schatz
SenatorTomCotton,Senator Tom Cotton
RepLaMalfa,Rep. Doug LaMalfa
RepHuffman,Congressman Jared Huffman
RepAmiBera,Congressman Ami Bera
RepScottPeters,Congressman Scott Peters
RepLoisFrankel,Rep. Lois Frankel
RepRodneyDavis,Rep. Rodney Davis
SteveDainesMT,Senator Steve Daines
CongresswomanAnnieKuster,Congresswoman Annie Kuster
repgracemeng,Grace Meng
RepSeanMaloney,Rep. Sean Patrick Maloney
RepBradWenstrup,Brad Wenstrup
RepJoyceBeatty,Joyce Beatty
RepDaveJoyce,Rep. Dave Joyce
CongressmanMattCartwright,Congressman Matt Cartwright
reptomrice,Congressman Tom Rice
SenatorTedCruz,Senator Ted Cruz
TXRandy14,Congressman Randy Weber
326420614138023,Congressman Joaquin Castro
CongressmanMarcVeasey,Congressman Marc Veasey
USCongressmanFilemonVela,Congressman Filemon Vela
RepChrisStewart,Congressman Chris Stewart
derek.kilmer,Derek Kilmer
reprobinkelly,Robin Kelly
repjasonsmith,Congressman Jason Smith
CongresswomanAdams,"Congresswoman Alma S. Adams, PhD"
CongressmanGaryPalmer,Congressman Gary Palmer
RepWesterman,Congressman Bruce Westerman
RepRubenGallego,Rep. Ruben Gallego
RepMarkDeSaulnier,Rep. Mark DeSaulnier
reppeteaguilar,Rep. Pete Aguilar
reploudermilk,Congressman Barry Loudermilk
CongressmanRickAllen,Congressman Rick Allen
RepBost,Rep. Mike Bost
395759603917487,Rep. Brenda Lawrence
reptomemmer,Congressman Tom Emmer
RepRouzer,Rep. David Rouzer
RepEliseStefanik,Rep. Elise Stefanik
RepJohnKatko,Congressman John Katko
RepBrianBabin,Rep. Brian Babin
RepDonBeyer,Congressman Don Beyer
repstaceyplaskett,Congresswoman Stacey Plaskett
RepNewhouse,Rep. Dan Newhouse
CongressmanAlexMooney,Congressman Alex Mooney
SenDanSullivan,Senator Dan Sullivan
SenatorMikeRounds,U.S. Senator Mike Rounds
reptrentkelly,Representative Trent Kelly
replahood,Rep. Darin LaHood
CongressmanWarrenDavidson,Congressman Warren Davidson
congressmancomer,Congressman James Comer
CongressmanBradSchneider,Congressman Brad Schneider
RepAndyBiggs,Congressman Andy Biggs
RepRoKhanna,Rep. Ro Khanna
CongresswomanBarragan,US Rep Nanette Diaz Barragán
CongressmanMattGaetz,Congressman Matt Gaetz
RepRutherfordFL,Congressman John Rutherford
RepAlLawsonJr,Rep Al Lawson Jr.
RepStephMurphy,U.S. Congresswoman Stephanie Murphy
RepCharlieCrist,Congressman Charlie Crist
repbrianmast,Congressman Brian Mast
RepDrewFerguson,Congressman Drew Ferguson
RepJimBanks,Congressman Jim Banks
reptrey,Representative Trey Hollingsworth
CongressmanClayHiggins,Congressman Clay Higgins
RepAnthonyBrown,Anthony Brown
repraskin,Rep. Jamie Raskin
RepJackBergman,Rep. Jack Bergman
RepTedBudd,Congressman Ted Budd
RepDonBacon,Congressman Don Bacon
RepJoshG,Rep Josh Gottheimer
RepSmucker,Congressman Lloyd Smucker
RepMcEachin,Congressman Donald McEachin
RepMikeGallagher,Rep. Mike Gallagher
RepJimmyGomez,Rep. Jimmy Gomez
USSenTinaSmith,U.S. Senator Tina Smith
RepConorLamb,Rep. Conor Lamb
CongressmanMichaelF.Q.SanNicolas,Congressman Michael F.Q. San Nicolas - Guam
SenMarkKelly,Senator Mark Kelly
