,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
0,0,Sherrod,Brown,Sherrod Brown,sen,OH,,Democrat,SenatorSherrodBrown,,0,6266829799,done,
1,1,Maria,Cantwell,Maria Cantwell,sen,WA,,Democrat,senatorcantwell,Senator Maria Cantwell,100044609161538,9351652533,missing,
2,2,Benjamin,Cardin,Benjamin L. Cardin,sen,MD,,Democrat,senatorbencardin,Senator Ben Cardin,100044326544838,no match,missing,
3,3,Thomas,Carper,Thomas R. Carper,sen,DE,,Democrat,tomcarper,Senator Tom Carper,100044593172202,no match,missing,
4,4,Robert,Casey,"Robert P. Casey, Jr.",sen,PA,,Democrat,SenatorBobCasey,U.S. Senator Bob Casey,100044143479624,no match,missing,
5,5,Dianne,Feinstein,Dianne Feinstein,sen,CA,,Democrat,senatorfeinstein,SenatorFeinstein,334887279867783,6314129300,done,
6,6,Amy,Klobuchar,Amy Klobuchar,sen,MN,,Democrat,amyklobuchar,Amy Klobuchar,100044165272627,7606381190,done,
7,7,Robert,Menendez,Robert Menendez,sen,NJ,,Democrat,senatormenendez,Senator Bob Menendez,100044150273701,no match,missing,
8,8,Bernard,Sanders,Bernard Sanders,sen,VT,,Independent,senatorsanders,U.S. Senator Bernie Sanders,100044564583792,no match,missing,
9,9,Debbie,Stabenow,Debbie Stabenow,sen,MI,,Democrat,SenatorStabenow,Senator Debbie Stabenow,100044295016482,8408030527,done,
10,10,Jon,Tester,Jon Tester,sen,MT,,Democrat,senatortester,Senator Jon Tester,100044314455346,6316744206,done,
11,11,Sheldon,Whitehouse,Sheldon Whitehouse,sen,RI,,Democrat,SenatorWhitehouse,Senator Sheldon Whitehouse,100044412038231,10519905140,done,
12,12,John,Barrasso,John Barrasso,sen,WY,,Republican,johnbarrasso,John Barrasso,100044388431065,1099779163410386,done,
13,13,Roger,Wicker,Roger F. Wicker,sen,MS,,Republican,wicker,Roger Wicker,6690879844,no match,missing,
