first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id
Sherrod,Brown,Sherrod Brown,sen,OH,,Democrat,SenatorSherrodBrown,,0,6266829799
Maria,Cantwell,Maria Cantwell,sen,WA,,Democrat,senatorcantwell,Senator Maria Cantwell,100044609161538,9351652533
Benjamin,Cardin,Benjamin L. Cardin,sen,MD,,Democrat,senatorbencardin,Senator Ben Cardin,100044326544838,no match
Thomas,Carper,Thomas R. Carper,sen,DE,,Democrat,tomcarper,Senator Tom Carper,100044593172202,no match
Robert,Casey,"Robert P. Casey, Jr.",sen,PA,,Democrat,SenatorBobCasey,U.S. Senator Bob Casey,100044143479624,no match
Dianne,Feinstein,Dianne Feinstein,sen,CA,,Democrat,senatorfeinstein,SenatorFeinstein,334887279867783,6314129300
Amy,Klobuchar,Amy Klobuchar,sen,MN,,Democrat,amyklobuchar,Amy Klobuchar,100044165272627,7606381190
Robert,Menendez,Robert Menendez,sen,NJ,,Democrat,senatormenendez,Senator Bob Menendez,100044150273701,no match
Bernard,Sanders,Bernard Sanders,sen,VT,,Independent,senatorsanders,U.S. Senator Bernie Sanders,100044564583792,no match
Debbie,Stabenow,Debbie Stabenow,sen,MI,,Democrat,SenatorStabenow,Senator Debbie Stabenow,100044295016482,8408030527
Jon,Tester,Jon Tester,sen,MT,,Democrat,senatortester,Senator Jon Tester,100044314455346,6316744206
Sheldon,Whitehouse,Sheldon Whitehouse,sen,RI,,Democrat,SenatorWhitehouse,Senator Sheldon Whitehouse,100044412038231,10519905140
John,Barrasso,John Barrasso,sen,WY,,Republican,johnbarrasso,John Barrasso,100044388431065,1099779163410386
Roger,Wicker,Roger F. Wicker,sen,MS,,Republican,wicker,Roger Wicker,6690879844,no match
Susan,Collins,Susan M. Collins,sen,ME,,Republican,susancollins,U.S. Senator Susan Collins,0,no match
John,Cornyn,John Cornyn,sen,TX,,Republican,sen.johncornyn,John Cornyn,100044537825073,355316521236121
Richard,Durbin,Richard J. Durbin,sen,IL,,Democrat,SenatorDurbin,Senator Dick Durbin,100043928209397,no match
Lindsey,Graham,Lindsey Graham,sen,SC,,Republican,USSenatorLindseyGraham,U.S. Senator Lindsey Graham,257937783228,165987503528599
James,Inhofe,James M. Inhofe,sen,OK,,Republican,jiminhofe,Senator Jim Inhofe,100044181078674,no match
Mitch,McConnell,Mitch McConnell,sen,KY,,Republican,mitchmcconnell,Senator Mitch McConnell,123994667639233,259130650776119
Jeff,Merkley,Jeff Merkley,sen,OR,,Democrat,jeffmerkley,Senator Jeff Merkley,100044540165037,496696933682736
John,Reed,Jack Reed,sen,RI,,Democrat,SenJackReed,Senator Jack Reed,0,1411485062416786
James,Risch,James E. Risch,sen,ID,,Republican,senatorjimrisch,Senator Jim Risch,500772543609803,no match
Jeanne,Shaheen,Jeanne Shaheen,sen,NH,,Democrat,SenatorShaheen,Senator Jeanne Shaheen,100044415254490,6691963292
Mark,Warner,Mark R. Warner,sen,VA,,Democrat,MarkRWarner,Senator Mark Warner,0,no match
Kirsten,Gillibrand,Kirsten E. Gillibrand,sen,NY,,Democrat,SenKirstenGillibrand,U.S. Senator Kirsten Gillibrand,100044454368535,no match
Christopher,Coons,Christopher A. Coons,sen,DE,,Democrat,senatorchriscoons,U.S. Senator Chris Coons,254950754518205,no match
Joe,Manchin,"Joe Manchin, III",sen,WV,,Democrat,JoeManchinIII,,0,no match
Robert,Aderholt,Robert B. Aderholt,rep,AL,4.0,Republican,RobertAderholt,,0,no match
Tammy,Baldwin,Tammy Baldwin,sen,WI,,Democrat,senatortammybaldwin,Senator Tammy Baldwin,100044433726307,7357041101
Karen,Bass,Karen Bass,rep,CA,37.0,Democrat,RepKarenBass,Congressmember Karen Bass,100044594076632,47918118982
Michael,Bennet,Michael F. Bennet,sen,CO,,Democrat,senbennetco,,0,no match
